ID,Date,Description,Result,Next Step,Status
1,4/16/2025,Check for empty and NA values,Used conditional formatting to detect blanks. No empty cells found. BMI column contains N/A values. Exact count to be determined.,"Determine the exact count of N/A in BMI. Decide whether to remove or impute (mean, median, or mode).",completed
2,4/16/2025,Standardized formatting for categorical columns,"Converted values in gender, work_type, residence_type, and smoking_status to lowercase.",Convert other categorical columns into final verbal categorization,completed
3,4/16/2025,Trim and remove duplicates., for duplicates	Used Sheets' TRIM() function and removed duplicates. No extra whitespace or duplicates were found.,Check for duplicates after conversion of other categorical values.,completed
4,4/16/2025,"Replace ""govt_job"" in work type as government job",Found and replaced 657 instances of govt_job with government job.,Add a helper column to facilitate sorting of data and display.,completed
5,4/16/2025,Modified ever married column into more descriptive value.,Replaced no and yes with never married and married.,"Reconsider the implication of ""married."" Some users may have been married and are now divorced but were still classified ""yes"", as the column name is ""ever married"" which suggests divorced people were married.",completed
6,4/16/2025,Added stroke category column.,Added the column to indicate had stroke and no stroke for a clearer indication of 0 and 1 values.,Convert heart disease from 0/1 to a more meaningful categorization.,completed
7,4/16/2025,Added heart disease category column.,"Added a column that indicates ""have heart disease""(1) and ""no heart disease"" (0).",Convert hypertension from 0/1 to a more meaningful categorization.,completed
8,4/16/2025,Added hypertension category column.,Added a column that categorizes hypertension from 0/1 to have hypertension/no hypertension.,None,completed
9,4/16/2025,"Retained the single entry of ""other"" gender.","Retained the single ""other"" entry (1 out of 5,110) for data integrity. It will be excluded from visualizations and gender-based analysis.",Exclude this entry from visualization and insight when conducting analysis involving gender. ,completed
10,4/16/2025,Binned age into medical stroke study category.,"Separated age into categories: pediatric (<18), young adult (<40), middle aged adult (<60), senior (<80), and elderly (80+).",Create a numeric helper column to enable proper sorting of age groups in ascending order.,completed
11,4/16/2025,Added age helper column.,Assigned numeric values to each age group for sorting: 1 (pediatric) to 5 (elderly).,None,completed
12,4/16/2025,Replaced N/A bmi values with median value.,Used the calculated median BMI value of 28.1 from the continuous_data_evaluation sheet to replace missing values. Median was chosen over mean to minimize the influence of outliers.,Proceed with binning the BMI into medically accepted categories and range.,completed
13,4/16/2025,Bin BMI into medically accepted categories.,"Categorized bmi levels into underweight (<18.5), normal weight (<25), overweight (<30), and obese (30+).",Create a helper column for sorting and displaying in ascending order.,completed
14,4/16/2025,Check for outliers in continuous data.,"Used the IQR method to identify outliers in avg_glucose_level and bmi. While upper-bound outliers were found, they reflect rare but plausible medical conditions and were retained.",Consider binning high glucose and BMI values for better interpretation.,completed
15,4/16/2025,Bmi helper column added.,Assigned numeric values to each bmi category for sorting: 1 (underweight) to 4 (obese).,"Consider the possibility of splitting obese into obese 1, obese 2, and obese 3 categories.",completed
16,4/17/2025,Bin average glucose level into medical standard.,"* Since there is no indication if the glucose levels in the dataset are fasting, random, or non-fasting, we will make an assumption of fasting and categorize the data this way.
* Based on WHO , CDC, and ADA standards, the categories are hypoglycemic (<70), normal (<100), prediabetes (<125), and diabetes (>- 125).",Further study the data distribution and consider if a different categorization may be necessary.,completed
17,4/17/2025,Added glucose level helper column,Helper column added for easier sorting and data display.,None,completed
